id;date;montant;libelle;type_ecriture;reference;autre_infos;pieces
1;2023-10-21T00:43:54;22276;vlan croâ entre-temps;DEBUT;flatter égoïste;lectorat là;redresser
2;2023-10-21T13:32:09;8858;hebdomadaire;CLOTURE;horrible zzzz de la part de;d’autant que;minuscule louer
3;2023-10-20T21:57:07;29160;ouin hi cadre;CLOTURE;miam;émerger selon guère;hé
4;2023-10-21T10:34:26;15869;broum;CLOTURE;jusqu’à ce que plus apparemment;éloigner;terne toc-toc blême
5;2023-10-21T12:20:45;22396;mal épanouir;CLOTURE;solitaire;mairie;équipe antique à la faveur de
6;2023-10-21T07:57:22;1032;équipe mature brave;DEBUT;infiniment afin que infime;euh membre de l’équipe tant;pschitt aussitôt que
7;2023-10-21T11:59:38;19496;remplir pourvu que;CLOTURE;hystérique;chef aimable hé;trop peu par suite de adversaire
8;2023-10-20T21:25:54;30411;mal foule mal;CLOTURE;du fait que;au-delà membre du personnel;jusque accuser
9;2023-10-21T04:38:13;15121;ha ha;DEBUT;fidèle partenaire;vide;avertir cuicui
10;2023-10-21T13:49:50;12317;pin-pon;CLOTURE;que tellement;ha;dessous svelte rapide
